author,description,illustrator,image,introduceder,price,title,url
Madeline Miller,Star-crossed romance and heart-pounding historical adventure meet in Madeline Miller’s The Song of Achilles. This special collector’s edition is introduced by classicist Emily Wilson and illustrated by Julie Dillon.,Julie Dillon,https://www.foliosociety.com/media/catalog/product/a/c/acll_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Emily Wilson,60.0,The Song of Achilles,https://www.foliosociety.com/row/the-song-of-achilles.html
Henning Mankell,Henning Mankell’s second Wallander mystery sees the detective wrestle with conspiracy and corruption in an unfriendly country. The Folio edition of The Dogs of Riga is illustrated by Morgan Schweitzer.,Morgan Schweitzer,https://www.foliosociety.com/media/catalog/product/d/o/dorg_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,50.0,The Dogs of Riga ,https://www.foliosociety.com/row/the-dogs-of-riga.html
Carlos Ruiz Zafón,Carlos Ruiz Zafón’s best-selling phenomenon The Shadow of the Wind is beautifully presented as a Folio collector’s edition with a new preface by translator Lucia Graves and atmospheric artwork by Jorge González.,Jorge González,https://www.foliosociety.com/media/catalog/product/s/o/sotw_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Lucia Graves,80.0,The Shadow of the Wind,https://www.foliosociety.com/row/the-shadow-of-the-wind.html
Stephen King,Michael Dirda chooses the best Weird Tales ever written for this exclusive new collection from The Folio Society. Cthulhu and his ilk are summoned to the page by artist Harry Campbell. ,Harry Campbell,https://www.foliosociety.com/media/catalog/product/w/r/wrdt_bookshot_1.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,49.95,Weird Tales,https://www.foliosociety.com/row/weird-tales.html
Ursula K. Le Guin,Ursula K. Le Guin’s masterwork comes to a close with the final volume of the Earthsea series. The Folio Society edition of The Other Wind is illustrated by series artist David Lupton.,David Lupton,https://www.foliosociety.com/media/catalog/product/w/i/wind_bookshot_1.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,49.95,The Other Wind,https://www.foliosociety.com/row/the-other-wind.html
Iain M. Banks,"Following science-fiction landmark Consider Phlebas, Folio continues Iain M. Banks’s Culture novels with The Player of Games, featuring mesmerising original artwork by series artist Dániel Taylor.",Dániel Taylor,https://www.foliosociety.com/media/catalog/product/t/p/tpog_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,85.0,The Player of Games,https://www.foliosociety.com/row/the-player-of-games.html
Diana Wynne Jones,"From the author of Howl’s Moving Castle, Diana Wynne Jones, comes The Magicians of Caprona, the second book in the fantastical ‘Chrestomanci’ series, presented by Folio in its first ever fully illustrated edition with artwork by Alison Bryant.",Alison Bryant,https://www.foliosociety.com/media/catalog/product/m/g/mgoc_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,44.95,The Magicians of Caprona,https://www.foliosociety.com/row/the-magicians-of-caprona.html
Stephen King,Dare you walk the path that leads to the Pet Sematary? Stephen King’s most terrifying book is celebrated in this spectacular 40th anniversary edition. Illustrated by award-winning series artist Edward Kinsella.,Edward Kinsella,https://www.foliosociety.com/media/catalog/product/p/e/pets_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,60.0,Pet Sematary,https://www.foliosociety.com/row/pet-sematary.html
Diana Wynne Jones,The first volume of the bewitching ‘Chrestomanci’ series by Diana Wynne Jones. Charmed Life arrives in an explosion of magic in this edition illustrated by Alison Bryant and introduced by Katherine Rundell.,Alison Bryant,https://www.foliosociety.com/media/catalog/product/c/h/chlf__bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Katherine Rundell,44.95,Charmed Life,https://www.foliosociety.com/row/charmed-life.html
Anthony Burgess,"One of the most important books of the 20th century, Anthony Burgess’s A Clockwork Orange is presented as a stunning Folio edition that includes an exclusive introduction by Irvine Welsh.",Ben Jones,https://www.foliosociety.com/media/catalog/product/c/k/cko_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Irvine Welsh,44.95,A Clockwork Orange,https://www.foliosociety.com/row/a-clockwork-orange.html
Irvine Welsh,"Choose Trainspotting, the explosive debut of author Irvine Welsh, as Folio celebrates the 30th anniversary of this cult classic with the first illustrated edition ever published.",Nicole Rifkin,https://www.foliosociety.com/media/catalog/product/t/r/trsp_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,John Sutherland,60.0,Trainspotting,https://www.foliosociety.com/row/trainspotting.html
Enid Blyton,"The first adventure in the Folio Society editions of ‘The Magic Faraway Tree’ series, Enid Blyton’s The Enchanted Wood features Jonathan Burton’s enchanting illustrations and a new introduction by Michael Morpurgo. ",Jonathan Burton,https://www.foliosociety.com/media/catalog/product/e/n/enwd_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Michael Morpurgo,44.95,The Enchanted Wood,https://www.foliosociety.com/row/the-enchanted-wood.html
Hilary Mantel,"Hilary Mantel’s monumental trilogy continues with Bring Up the Bodies. Published in series with Wolf Hall, this lavish Folio edition is illustrated by celebrated artists Igor &amp; Marina. ",Igor & Marina,https://www.foliosociety.com/media/catalog/product/b/u/bupb_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,85.0,Bring Up the Bodies,https://www.foliosociety.com/row/bring-up-the-bodies.html
William Blake,"With every poem perfectly reproduced from the finest surviving copy of William Blake’s Songs of Innocence and of Experience, this Folio collector’s edition is introduced by Patti Smith. ",the author,https://www.foliosociety.com/media/catalog/product/s/o/soil_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Patti Smith,150.0,Songs of Innocence and of Experience,https://www.foliosociety.com/row/blake-songs-of-innocence-and-of-experience.html
Ursula K. Le Guin,"For Tales from Earthsea, Ursula K. Le Guin returns to her beloved fantasy world to reveal its very foundations. This Folio Society edition features illustrations by David Lupton.",David Lupton,https://www.foliosociety.com/media/catalog/product/e/r/erth_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,49.95,Tales from Earthsea,https://www.foliosociety.com/row/tales-from-earthsea.html
Mary Shelley,Relish the thrilling horror of Frankenstein in Folio’s stunning new edition. Mary Shelley's darkly disturbing tale is illustrated by Angela Barrett and newly introduced by Richard Holmes.,Angela Barrett,https://www.foliosociety.com/media/catalog/product/f/r/frnk_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Richard Holmes,65.0,Frankenstein,https://www.foliosociety.com/row/frankenstein-shelley.html
Cormac McCarthy,Cormac McCarthy’s sparse and beautiful writing is perfectly mirrored by Gérard DuBois’s hauntingly understated images for this Folio Society edition of the Western thriller No Country for Old Men.,Gérard DuBois,https://www.foliosociety.com/media/catalog/product/n/c/ncom_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,49.95,No Country for Old Men,https://www.foliosociety.com/row/no-country-for-old-men.html
Cormac McCarthy,"Multi-layered, violent and beautiful, Cormac McCarthy’s Blood Meridian is a modern classic justly celebrated in this Folio Society edition, illustrated by award-winning artist Gérard DuBois.",Gérard DuBois,https://www.foliosociety.com/media/catalog/product/b/m/bmer_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,49.95,Blood Meridian,https://www.foliosociety.com/row/blood-meridian.html
Frank Herbert,"Discover the true scope of Frank Herbert’s vision in Dune: Messiah, the epic second act in the classic sci-fi saga, presented in a cinematic illustrated edition from The Folio Society.",Hilary Clarcq,https://www.foliosociety.com/media/catalog/product/m/e/mess_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,75.0,Dune: Messiah,https://www.foliosociety.com/row/dune-messiah.html
Michael Chabon,"Behold an assembly of iconic adventures in The Avengers. Curated by Marvel legend Roy Thomas, this bold new edition from Folio gathers the greatest tales of Earth’s Mightiest Heroes, featuring Captain America, Iron Man, Thor, Hulk and more.",Chris Samnee,https://www.foliosociety.com/media/catalog/product/m/v/mvav_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,65.0,The Avengers,https://www.foliosociety.com/row/the-avengers.html
Peter Benchley,"Peter Benchley’s Jaws is the ultimate pulp thriller, and this is the ultimate illustrated edition. Folio commissioned Hokyoung Kim for the artwork, while the late author’s wife, Wendy Benchley, provides a fascinating new introduction.",Hokyoung Kim,https://www.foliosociety.com/media/catalog/product/j/a/jaws_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Wendy Benchley,44.95,Jaws,https://www.foliosociety.com/row/jaws.html
Michael Ende,"To mark Folio’s 75th anniversary, Michael Ende’s The Neverending Story is published as a magical new edition, beautifully illustrated by award-winning artist Marie-Alice Harel and bursting with exquisite design details.",Marie-Alice Harel,https://www.foliosociety.com/media/catalog/product/n/e/nevs_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,85.0,The Neverending Story,https://www.foliosociety.com/row/the-neverending-story.html
Ursula K. Le Guin,Earthsea’s hero Ged continues his story in the third part of Ursula K. Le Guin’s classic fantasy series. The Folio edition of The Farthest Shore features illustrations by David Lupton.,David Lupton,https://www.foliosociety.com/media/catalog/product/s/h/shor_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,49.95,The Farthest Shore,https://www.foliosociety.com/row/the-farthest-shore.html
Kazuo Ishiguro,Uncover a spectacular piece of fantasy literature from Nobel Prize-winning author Kazuo Ishiguro. The Folio edition of The Buried Giant is illustrated by Jana Heidersdorf and introduced by Daniel Kehlmann.,Jana Heidersdorf,https://www.foliosociety.com/media/catalog/product/b/u/burg_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Daniel Kehlmann,75.0,The Buried Giant,https://www.foliosociety.com/row/the-buried-giant.html
Arkady & Boris Strugatsky,"The Strugatsky Brothers’ science fiction mastery meets David McKean’s phenomenal artistic talent in this new Folio limited edition. Introduced and signed by the artist, and limited to just 600 copies, this is a stunning issue of Roadside Picnic.",Dave McKean,https://www.foliosociety.com/media/catalog/product/p/i/picl_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Dave McKean,295.0,Roadside Picnic (Limited Edition),https://www.foliosociety.com/row/roadside-picnic-limited-edition.html
George R. R. Martin,The story that exploded into the world with A Game of Thrones continues in George R. R. Martin’s A Dance with Dragons. Jonathan Burton illustrates this very special Folio edition.,Jonathan Burton,https://www.foliosociety.com/media/catalog/product/g/t/gt5_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,160.0,A Dance with Dragons,https://www.foliosociety.com/row/a-dance-with-dragons.html
,"Unleash the thunder with Thor, Folio’s latest in the Marvel Heroes series, showcasing the world’s mightiest Super Heroes. Witness the debut of the thunder god’s nemesis Loki in legendary comic books by Stan Lee, Jack Kirby and Walt Simonson.",,https://www.foliosociety.com/media/catalog/product/t/h/thor_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,65.0,Thor,https://www.foliosociety.com/row/thor.html
Wu Ch’eng-en,"One of the Four Great Chinese novels, and a worldwide cultural phenomenon, Monkey is reimagined as a Folio edition with exquisite artwork by Mu Pan, including a foldout map, and a new introduction by Frances Wood.",Mu Pan,https://www.foliosociety.com/media/catalog/product/m/o/monk_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Frances Wood,75.0,Monkey,https://www.foliosociety.com/row/monkey.html
Toni Morrison,"Awarded the Pulitzer Prize in 1988, Toni Morrison’s seminal novel Beloved remains an enduring masterpiece. The Folio edition is introduced by Russell Banks and features illustrations by Joe Morse.",Joe Morse,https://www.foliosociety.com/media/catalog/product/b/v/bvd_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Russell Banks,49.95,Beloved,https://www.foliosociety.com/row/beloved.html
Arthur C. Clarke,Arthur C. Clarke’s seminal sci-fi novel Childhood’s End charts a utopian alien invasion with a surprising twist. This beautiful new edition features the spectacular artwork of Grace Aldrich.,Grace Aldrich,https://www.foliosociety.com/media/catalog/product/c/e/cend_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,55.0,Childhood’s End,https://www.foliosociety.com/row/childhood-s-end.html
Georgette Heyer,"Georgette Heyer’s witty and addictive regency romance Arabella is designed in series with Folio’s edition of Venetia, featuring Sally Dunne’s beautiful illustrations, and intricate binding lettering by Jessica Hische.",Sally Dunne,https://www.foliosociety.com/media/catalog/product/a/b/abll_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,49.95,Arabella,https://www.foliosociety.com/row/arabella.html
Ian Fleming,Ian Fleming’s super spy returns in five thrilling short stories. The latest title in the Folio James Bond collection features glamorous artwork and an illustrated slipcase by series artist Fay Dalton.,Fay Dalton,https://www.foliosociety.com/media/catalog/product/j/b/jbe_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,46.95,For Your Eyes Only,https://www.foliosociety.com/row/for-your-eyes-only.html
Shirley Jackson,Let Shirley Jackson’s We Have Always Lived in the Castle cast a spell on you. With an afterword by Donna Tartt written exclusively for this illustrated Folio Society edition.,Angie Hoffmeister,https://www.foliosociety.com/media/catalog/product/c/a/cast_book.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,49.95,We Have Always Lived in the Castle,https://www.foliosociety.com/row/we-have-always-lived-in-the-castle.html
Agatha Christie,Queen of Crime Agatha Christie invites you into a shadowy world of black magic and cold-blooded murder. The Pale Horse is the latest volume in the Folio Christie collection.,Olivia Daw,https://www.foliosociety.com/media/catalog/product/p/a/pale_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,49.95,The Pale Horse,https://www.foliosociety.com/row/the-pale-horse.html
Iain M. Banks,The first of Iain M. Banks’ ‘Culture’ novels dives into the heart of an interstellar war. Dániel Taylor provides the spectacular images for Folio’s edition of Consider Phlebas.,Dániel Taylor,https://www.foliosociety.com/media/catalog/product/c/p/cphb_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,85.0,Consider Phlebas,https://www.foliosociety.com/row/consider-phlebas.html
Dodie Smith,"Love, loyalty and the bond between sisters are explored and celebrated in Dodie Smith’s enduring classic. The Folio Society edition of I Capture the Castle features charming illustrations by Sarah Dyer.",Sarah Dyer,https://www.foliosociety.com/media/catalog/product/i/c/ictc_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,60.0,I Capture the Castle,https://www.foliosociety.com/row/i-capture-the-castle.html
Georgette Heyer,"Georgette Heyer brings her wry take on regency romance to Frederica, illustrated by Sally Dunne and with a beautiful binding design by Jessica Hische, in the third book of this exclusive Folio series.",Sally Dunne,https://www.foliosociety.com/media/catalog/product/f/d/fdra_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,49.95,Frederica,https://www.foliosociety.com/row/frederica.html
Haruki Murakami,"The latest addition to our best-selling Murakami collection, The Wind-Up Bird Chronicle is a masterpiece exploring the surreal that is hidden in plain sight. This beautiful edition is illustrated by award-winning series artist Daniel Liévano.",Daniel Liévano,https://www.foliosociety.com/media/catalog/product/w/u/wubc_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,85.0,The Wind-Up Bird Chronicle,https://www.foliosociety.com/row/the-wind-up-bird-chronicle.html
Henning Mankell,"Henning Mankell’s Faceless Killers made detective Wallander a household name and catapulted Nordic noir into the mainstream. The first ever illustrated edition, with an introduction by Patti Smith, is a must-have for fans of the genre.",Morgan Schweitzer,https://www.foliosociety.com/media/catalog/product/f/k/fkls_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Patti Smith,50.0,Faceless Killers,https://www.foliosociety.com/row/faceless-killers.html
Italo Calvino,Italo Calvino’s beguiling and mysterious Invisible Cities defies explanation. Dave McKean’s rich visuals illustrate the wondrous and impossible urban landscapes in a Folio edition that is introduced by Jeanette Winterson. ,Dave McKean,https://www.foliosociety.com/media/catalog/product/i/n/invc_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Jeanette Winterson,60.0,Invisible Cities,https://www.foliosociety.com/row/invisible-cities.html
Ursula K. Le Guin,"The Folio Society’s edition of Tehanu, the fourth story in the series, continues the work of bringing Ursula K. Le Guin’s Earthsea to life. With enchanting illustrations by David Lupton. ",David Lupton,https://www.foliosociety.com/media/catalog/product/t/e/teh_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,49.95,Tehanu,https://www.foliosociety.com/row/tehanu.html
Jhumpa Lahiri,"Jhumpa Lahiri's Pulitzer Prize-winning short story collection, Interpreter of Maladies, is gorgeously illustrated for the first time by Shreya Gupta, exclusively for the Folio Society.",Shreya Gupta,https://www.foliosociety.com/media/catalog/product/i/n/intm_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,50.0,Interpreter of Maladies,https://www.foliosociety.com/row/interpreter-of-maladies.html
Agatha Christie,"A glamorous family, unbearable suspense and murder. The Folio edition of this classic mystery from the queen of detective fiction, Agatha Christie’s Ordeal by Innocence is illustrated by Laura Hope.",Laura Hope,https://www.foliosociety.com/media/catalog/product/o/b/obyi_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,49.95,Ordeal by Innocence,https://www.foliosociety.com/row/ordeal-by-innocence.html
Dante Alighieri,"An exceptional Folio edition celebrating more than 700 years of Dante’s monumental work, The Divine Comedy is illustrated by Neil Packer and includes an exclusive essay by Jhumpa Lahiri.",Neil Packer,https://www.foliosociety.com/media/catalog/product/d/i/divc_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,100.0,The Divine Comedy,https://www.foliosociety.com/row/the-divine-comedy-dante.html
Michael Crichton,"The book that launched a phenomenal global franchise, Michael Crichton’s Jurassic Park is a rip-roaring, fact-filled, rollercoaster read and this illustrated Folio Society edition is the T-Rex of them all.",Vector That Fox,https://www.foliosociety.com/media/catalog/product/j/u/jur_book.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,39.95,Jurassic Park,https://www.foliosociety.com/row/jurassic-park.html
Haruki Murakami,"Newly introduced by Haruki Murakami, this outstanding Folio Society collector’s edition of Kafka on the Shore features the enigmatic and fantastical artwork of illustrator Daniel Liévano.",Daniel Liévano,https://www.foliosociety.com/media/catalog/product/k/a/kaf_book.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,the author,85.0,Kafka on the Shore,https://www.foliosociety.com/row/kafka-on-the-shore.html
Michael Chabon,"Experience the amazing adventures of Marvel’s iconic Super Hero in Spider-Man, the second volume in Folio’s exclusive ‘Marvel Heroes’ series. Featuring acclaimed comic books by Stan Lee, Steve Dikto, Todd McFarlane and Brian Michael Bendis. ",Chris Samnee,https://www.foliosociety.com/media/catalog/product/m/v/mvm_bookshot_1.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,65.0,Spider-Man,https://www.foliosociety.com/row/spider-man.html
Bram Stoker,"Lavishly illustrated by Angela Barrett and beautifully bound in blocked cloth, this new Folio Society edition of Bram Stoker’s Dracula is a fitting tribute to a gothic masterpiece.  ",Angela Barrett,https://www.foliosociety.com/media/catalog/product/d/r/drac_bookshot_1.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,John Banville,65.0,Dracula,https://www.foliosociety.com/row/dracula.html
Michael Crichton,The nightmare is far from over for humankind in Michael Crichton’s action-packed follow-up to Jurassic Park. This Folio edition of The Lost World is illustrated by Vector That Fox.,Vector That Fox,https://www.foliosociety.com/media/catalog/product/l/w/lwrd_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,39.95,The Lost World,https://www.foliosociety.com/row/the-lost-world.html
